Season Start,Player Name,PTS,PER,TOV,WS,VORP
2013,Al-Farouq Aminu,7.302631578947368,13.7,1.5263157894736843,3.1,1.3
2014,Al-Farouq Aminu,7.15,13.2,1.1,3.1,0.9
2015,Al-Farouq Aminu,5.567567567567568,14.4,0.7432432432432432,3.3,1.5
2016,Al-Farouq Aminu,10.231707317073171,12.7,1.4634146341463414,4.0,1.3
2017,Al-Farouq Aminu,8.721311475409836,11.3,1.540983606557377,1.9,0.4
2001,Allan Houston,18.705128205128204,16.1,2.0641025641025643,7.5,1.6
2002,Allan Houston,20.350649350649352,15.2,2.207792207792208,4.7,1.0
2003,Allan Houston,22.5,17.7,2.1707317073170733,7.2,1.7
2004,Allan Houston,18.48,14.8,2.04,3.1,0.3
2005,Allan Houston,11.85,12.5,1.05,0.7,-0.2
2014,Allen Crabbe,2.2,7.7,0.2,0.1,-0.1
2015,Allen Crabbe,3.294117647058824,8.7,0.2941176470588235,1.3,0.3
2016,Allen Crabbe,10.271604938271604,12.2,0.7901234567901234,4.3,0.7
2017,Allen Crabbe,10.69620253164557,11.6,0.7848101265822784,4.1,0.5
2001,Allen Iverson*,31.08450704225352,24.0,3.3380281690140845,11.8,5.1
2004,Allen Iverson*,26.375,19.3,4.354166666666667,2.8,2.3
2005,Allen Iverson*,30.69333333333333,23.2,4.586666666666667,9.0,5.0
2007,Allen Iverson*,26.29230769230769,19.6,4.123076923076923,6.2,1.9
2007,Allen Iverson*,31.2,23.5,4.4,1.6,0.6
2007,Allen Iverson*,24.82,18.4,4.04,4.6,1.3
2008,Allen Iverson*,26.390243902439025,20.9,2.9878048780487805,11.6,3.1
2009,Allen Iverson*,17.45614035087719,15.8,2.56140350877193,2.9,0.7
2009,Allen Iverson*,18.666666666666668,15.2,3.333333333333333,0.2,0.0
2009,Allen Iverson*,17.38888888888889,15.9,2.5185185185185186,2.7,0.7
2010,Alonzo Gee,7.363636363636363,16.2,0.9090909090909092,0.4,0.0
2011,Alonzo Gee,5.910714285714286,10.8,0.9821428571428572,1.0,-0.1
2011,Alonzo Gee,2.909090909090909,9.9,0.7272727272727273,0.1,0.0
2011,Alonzo Gee,7.425,11.1,1.1,1.0,0.0
2012,Alonzo Gee,10.555555555555555,13.2,1.809523809523809,2.4,0.7
2013,Alonzo Gee,10.268292682926829,10.5,1.6097560975609757,1.9,0.3
2014,Alonzo Gee,3.969230769230769,8.6,0.676923076923077,0.9,-0.2
2015,Alonzo Gee,4.462962962962963,13.0,0.6111111111111112,1.2,0.2
2015,Alonzo Gee,4.871794871794871,14.0,0.6410256410256411,1.1,0.2
2015,Alonzo Gee,3.4,9.7,0.5333333333333333,0.1,0.0
2016,Alonzo Gee,4.452054794520548,8.4,0.7534246575342466,1.9,0.5
2001,Alonzo Mourning*,13.615384615384617,24.6,2.1538461538461537,0.9,0.2
2002,Alonzo Mourning*,15.706666666666669,18.9,2.4266666666666667,7.4,1.9
2006,Alonzo Mourning*,7.8307692307692305,19.4,1.2153846153846153,4.8,0.9
2001,Alvin Williams,9.78048780487805,15.2,1.2560975609756098,5.4,1.6
2002,Alvin Williams,11.841463414634148,13.8,1.829268292682927,5.2,1.7
2003,Alvin Williams,13.166666666666666,16.7,1.641025641025641,5.5,1.4
2004,Alvin Williams,8.821428571428571,11.4,1.3928571428571428,2.1,-0.2
2006,Alvin Williams,1.0,-4.7,0.0,-0.1,-0.1
2007,Alvin Williams,1.0,6.6,1.5,-0.1,0.0
2004,Amal McCaskill,1.915254237288136,7.3,0.423728813559322,0.6,-0.3
2006,Amir Johnson,6.666666666666667,20.3,1.3333333333333333,0.2,0.0
2007,Amir Johnson,5.875,20.6,1.125,0.5,0.1
2010,Amir Johnson,6.2317073170731705,16.7,0.7682926829268293,4.5,1.5
2011,Amir Johnson,9.555555555555555,17.6,0.9583333333333334,5.6,2.2
2012,Amir Johnson,7.0625,14.4,1.46875,4.0,1.6
2013,Amir Johnson,10.037037037037036,17.3,1.4444444444444444,7.3,3.2
2014,Amir Johnson,10.376623376623376,15.4,1.5974025974025974,6.3,2.6
2015,Amir Johnson,9.253333333333334,15.4,1.4666666666666666,5.1,1.9
2016,Amir Johnson,7.30379746835443,16.0,1.1898734177215189,5.9,2.3
2017,Amir Johnson,6.5,15.0,0.9625,5.0,1.7
2005,Anderson Varejao,4.925925925925926,17.0,0.4814814814814814,3.0,0.7
2006,Anderson Varejao,4.5625,14.8,0.5625,2.3,0.3
2007,Anderson Varejao,6.753086419753086,14.4,0.8271604938271605,6.6,1.8
2008,Anderson Varejao,6.6875,12.0,1.2291666666666667,2.4,0.1
2009,Anderson Varejao,8.567901234567902,14.6,0.9876543209876544,8.0,2.1
2010,Anderson Varejao,8.56578947368421,15.8,0.881578947368421,8.1,2.7
2011,Anderson Varejao,9.096774193548388,15.2,1.2903225806451613,2.2,0.7
2012,Anderson Varejao,10.84,18.9,1.8,2.1,0.8
2013,Anderson Varejao,14.12,21.7,1.76,3.3,1.5
2014,Anderson Varejao,8.4,17.0,1.1076923076923078,5.4,2.1
2015,Anderson Varejao,9.807692307692308,17.7,1.3461538461538465,1.9,0.5
2016,Anderson Varejao,2.60377358490566,11.1,0.4150943396226415,1.0,0.0
2016,Anderson Varejao,2.5806451612903225,11.2,0.5161290322580645,0.6,0.0
2006,Andray Blatche,2.2413793103448274,10.1,0.4137931034482758,0.1,-0.1
2007,Andray Blatche,3.678571428571429,12.1,0.875,0.5,-0.1
2008,Andray Blatche,7.536585365853658,15.5,1.3658536585365857,3.0,1.0
2009,Andray Blatche,10.04225352112676,15.0,1.647887323943662,1.4,0.2
2010,Andray Blatche,14.11111111111111,17.6,2.246913580246914,3.4,1.5
2011,Andray Blatche,16.8125,16.9,2.6875,2.4,0.8
2012,Andray Blatche,8.5,10.6,1.4230769230769231,-0.1,-0.5
2013,Andray Blatche,10.28048780487805,21.9,1.5,4.9,1.7
2014,Andray Blatche,11.246575342465754,18.8,1.5068493150684932,3.7,0.8
2006,Andre Barrett,4.578947368421052,11.3,0.7894736842105263,-0.1,-0.3
2006,Andre Barrett,4.5,14.1,0.5,0.0,0.0
2006,Andre Barrett,4.588235294117647,11.0,0.8235294117647058,-0.2,-0.2
2007,Andre Brown,2.4473684210526314,11.1,0.7631578947368421,0.0,-0.4
2013,Andre Drummond,7.933333333333334,21.6,0.95,4.5,1.4
2014,Andre Drummond,13.51851851851852,22.6,1.3580246913580247,9.9,2.4
2015,Andre Drummond,13.78048780487805,21.4,1.4634146341463414,7.7,1.2
2016,Andre Drummond,16.22222222222222,21.2,1.9135802469135803,7.4,1.0
2017,Andre Drummond,13.641975308641976,20.9,1.876543209876543,6.7,1.7
2005,Andre Iguodala,9.03658536585366,13.5,1.695121951219512,6.6,2.9
2006,Andre Iguodala,12.28048780487805,14.8,1.8658536585365852,7.5,3.2
2008,Andre Iguodala,19.87804878048781,19.0,2.609756097560976,9.6,5.2
2009,Andre Iguodala,18.79268292682927,18.4,2.707317073170732,9.2,4.8
2010,Andre Iguodala,17.085365853658537,17.8,2.658536585365854,6.7,3.8
2011,Andre Iguodala,14.1044776119403,17.2,2.0597014925373136,6.7,3.2
2012,Andre Iguodala,12.435483870967742,17.6,1.8548387096774197,7.3,3.6
2013,Andre Iguodala,12.975,15.2,2.575,5.6,3.7
2014,Andre Iguodala,9.333333333333334,13.7,1.5873015873015872,5.8,2.6
2015,Andre Iguodala,7.844155844155843,12.3,1.1428571428571428,5.1,1.9
2016,Andre Iguodala,7.030769230769231,12.2,1.2153846153846153,4.4,1.6
2017,Andre Iguodala,7.552631578947368,14.4,0.7631578947368421,6.9,2.5
2001,Andre Miller,15.804878048780488,20.1,3.231707317073171,8.0,3.5
2002,Andre Miller,16.48148148148148,21.8,3.0246913580246915,10.3,4.1
2003,Andre Miller,13.6,15.2,2.575,4.6,1.1
2005,Andre Miller,13.573170731707316,16.5,2.682926829268293,7.0,2.2
2006,Andre Miller,13.731707317073171,16.4,3.1219512195121952,6.2,1.8
2008,Andre Miller,17.048780487804876,18.4,2.5121951219512195,8.3,2.9
2009,Andre Miller,16.304878048780488,18.6,2.426829268292683,8.8,3.6
2010,Andre Miller,13.975609756097562,18.1,2.109756097560976,7.0,2.3
2011,Andre Miller,12.703703703703704,17.8,2.432098765432099,7.0,2.1
2012,Andre Miller,9.681818181818182,14.8,2.6818181818181817,2.9,0.6
2013,Andre Miller,9.585365853658535,15.7,2.097560975609756,5.4,1.0
2014,Andre Miller,4.879310344827586,13.9,1.0517241379310345,2.2,0.1
2014,Andre Miller,5.866666666666666,13.4,1.1,1.1,0.1
2014,Andre Miller,3.821428571428572,14.6,1.0,1.1,0.0
2015,Andre Miller,4.382716049382716,13.3,1.2839506172839503,2.2,-0.3
2015,Andre Miller,3.588235294117647,14.3,0.9019607843137256,1.6,-0.1
2015,Andre Miller,5.733333333333333,12.3,1.9333333333333331,0.6,-0.2
2006,Andre Owens,3.0,5.2,0.5652173913043478,-0.2,-0.3
2014,Andre Roberson,1.875,9.0,0.475,0.8,0.2
2015,Andre Roberson,3.4029850746268657,9.1,0.6865671641791045,2.1,0.7
2016,Andre Roberson,4.814285714285714,10.2,0.5,3.4,1.3
2017,Andre Roberson,6.6075949367088604,9.6,0.6455696202531646,4.2,1.2
2007,Andrea Bargnani,11.553846153846154,12.8,1.646153846153846,1.9,0.1
2008,Andrea Bargnani,10.153846153846152,10.6,1.1282051282051282,1.4,-0.5
2009,Andrea Bargnani,15.41025641025641,14.6,1.7307692307692308,3.9,0.7
2010,Andrea Bargnani,17.2,15.5,1.5,4.2,0.8
2011,Andrea Bargnani,21.424242424242426,16.4,2.303030303030303,2.5,-0.4
2012,Andrea Bargnani,19.451612903225808,17.9,2.225806451612903,2.2,0.3
2013,Andrea Bargnani,12.657142857142857,11.2,1.542857142857143,0.1,-0.6
2014,Andrea Bargnani,13.285714285714286,14.5,1.380952380952381,1.5,-0.1
2015,Andrea Bargnani,14.827586206896552,16.6,1.4482758620689655,0.9,-0.3
2016,Andrea Bargnani,6.608695652173913,11.8,0.5652173913043478,0.2,-0.9
2002,Andrei Kirilenko,10.731707317073171,18.8,1.3170731707317074,7.3,3.2
2003,Andrei Kirilenko,12.0375,21.1,1.7,9.2,4.8
2004,Andrei Kirilenko,16.46153846153846,22.6,2.7564102564102564,11.6,7.5
2005,Andrei Kirilenko,15.609756097560975,24.4,2.1951219512195124,5.5,3.8
